一级目录,英文,二级目录,英文,三级目录,英文,四级目录,英文,五级目录,英文
转换工具,Conversion Tools,由栅格转出,From Raster,栅格转ASCII,Raster to ASCII,,,,
转换工具,Conversion Tools,由栅格转出,From Raster,栅格转折线,Raster to Polyline,,,,
转换工具,Conversion Tools,由栅格转出,From Raster,栅格转浮点型,Raster to Float,,,,
转换工具,Conversion Tools,由栅格转出,From Raster,栅格转点,Raster to Point,,,,
转换工具,Conversion Tools,由栅格转出,From Raster,栅格转视频,Raster to Video,,,,
转换工具,Conversion Tools,由栅格转出,From Raster,栅格转面,Raster to Polygon,,,,
转换工具,Conversion Tools,转为CAD,To CAD,添加CAD字段,Add CAD Fields,,,,
转换工具,Conversion Tools,转为CAD,To CAD,要素转CAD,Export to CAD,,,,
转换工具,Conversion Tools,转为Collada,To Collata,多面体转Collada,Multipatch To Collada,,,,
转换工具,Conversion Tools,转为Coverage,To Coverage,从E00导入,Import from E00,,,,
转换工具,Conversion Tools,转为Coverage,To Coverage,要素类转Coverage,Feature Class To Coverage,,,,
转换工具,Conversion Tools,转为bBASE,To dBASE,表转dBASE(批量),Table to dBASE(multiple),,,,
转换工具,Conversion Tools,转为KML,To KML,图层转KML,Layer To KML,,,,
转换工具,Conversion Tools,转为KML,To KML,地图转KML,Map To KML,,,,
转换工具,Conversion Tools,转为Shapefile,To Shapefile,要素类装Shapefile(批量),Feature Class To Shapefile(multiple),,,,
转换工具,Conversion Tools,转为栅格,To Raster,ASCII转栅格,ASCII to Raster,,,,
转换工具,Conversion Tools,转为栅格,To Raster,DEM转栅格,DEM to Raster,,,,
转换工具,Conversion Tools,转为栅格,To Raster,LAS数据集转栅格,LAS Dataset to Raster,,,,
转换工具,Conversion Tools,转为栅格,To Raster,多面体转栅格,Multipatch to Raster,,,,
转换工具,Conversion Tools,转为栅格,To Raster,折线转栅格,Polyline to Raster,,,,
转换工具,Conversion Tools,转为栅格,To Raster,栅格转其他格式(批量),Raster To Other Format(multiple),,,,
转换工具,Conversion Tools,转为栅格,To Raster,浮点型转栅格,Float to Raster,,,,
转换工具,Conversion Tools,转为栅格,To Raster,点转栅格,Point to Raster,,,,
转换工具,Conversion Tools,转为栅格,To Raster,要素转栅格,Feature to Raster,,,,
转换工具,Conversion Tools,转为栅格,To Raster,面转栅格,Polygon to Raster,,,,
转换工具,Conversion Tools,转出至地理数据库,To Geodatabase,CAD至地理数据库,CAD to Geodatabase,,,,
转换工具,Conversion Tools,转出至地理数据库,To Geodatabase,导入CAD注记,Import CAD Annotation,,,,
转换工具,Conversion Tools,转出至地理数据库,To Geodatabase,导入Coverage注记,Import Coverage Annotation,,,,
转换工具,Conversion Tools,转出至地理数据库,To Geodatabase,将运行时地理数据库复制到文件地理数据库,Copy Runtime Geodatabase to File Geodatabase,,,,
转换工具,Conversion Tools,转出至地理数据库,To Geodatabase,栅格数据至地理数据库(批量),Raster To Geodatabase(multiple),,,,
转换工具,Conversion Tools,转出至地理数据库,To Geodatabase,表至地理数据库(批量),Table to Geodatabase(multiple),,,,
转换工具,Conversion Tools,转出至地理数据库,To Geodatabase,表至表,Table to Table,,,,
转换工具,Conversion Tools,转出至地理数据库,To Geodatabase,要素类至地理数据库(批量),Feature Class to Geodatabase(multiple),,,,
转换工具,Conversion Tools,转出至地理数据库,To Geodatabase,要素类至要素类,Feature Class to Feature Class,,,,
宗地结构工具,Parcel Fabric Tools,图层和表视图,Layers and Table Views,创建宗地结构图层,Make Parcel Fabric Layer,,,,
宗地结构工具,Parcel Fabric Tools,图层和表视图,,创建宗地结构表视图,Make Parcel Fabric Table View,,,,
宗地结构工具,Parcel Fabric Tools,宗地要素,Parcel Features,复制宗地结构,Copy Parcel Fabric,,,,
宗地结构工具,Parcel Fabric Tools,宗地要素,,追加宗地结构,Append Parcel Fabric,,,,
宗地结构工具,Parcel Fabric Tools,数据迁移,Data Migration,加载拓扑至宗地结构,Load a Topology to a Parcel Fabric,,,,
